gretl	/software /art/film
townscape	/art /written_work
sholes	/location/city /location /person
planning	/written_work
jvc	/person/engineer /organization /organization/company
wreaths	/written_work
sarod	/music /product /product/instrument
ezhava	/people/ethnicity
usr	/organization /organization/company
saboteur	/game /art/film /person/artist /person/musician /written_work
hateful	/person/musician /person/artist
mayotte	/location/county /location
drop	/music /product /person/musician /written_work /art/film /location /person/artist /location/city /person
benward	/person/author /person
abaya	/location
asterias	/living_thing
magdalene	/music /art/film /product /art /person/artist /written_work /person
joash	/person/artist /person
flex	/software /music /person/actor /product /person/musician /written_work /computer/programming_language /art/film /location /organization/educational_institution /person/artist /organization /person/author /person
arr	/music
shaner	/person/actor /location /person/artist /location/city /person/author /person
janamejaya	/person
keir	/person/actor /person
durbar	/written_work
mambilla	/written_work
haigh	/location/city /location /person/author /person
robertstown	/location/city /location
renfe	/organization
iset	/person
slon	/living_thing /person/musician /art/film /person/artist /product
kassa	/broadcast_program /product /person
looe	/location/city /location
olona	/location /location/body_of_water
dresses	/person/artist
mylon	/living_thing
newsworld	/written_work
walbeck	/location/city /location
creditors	/play /written_work
riverwood	/location/city /location /building
nellis	/location/city /location
meigs	/location/city /location
duddon	/location/city /location
peletier	/location/city /location
liners	/location/city /location
concepcion	/geography/mountain /location/city /location /music
nunchaku	/art/film /music
kemba	/location/city /location
marlies	/person
clockwise	/art/film /person/artist /broadcast_program
defection	/person/artist
fig	/living_thing /building/restaurant /person/artist /person/musician /food /person/actor /location /location/city /person
hospitalised	/music /product
brazing	/written_work
expect	/person/musician /music /person/artist
crumpsall	/location
herzogenrath	/location/city /location
induction	/music /art/film /person/artist /medicine/medical_treatment /product /written_work
neram	/art/film
mitford	/location/city /location
cajanus	/living_thing
soon	/person/artist /music /product /person/musician
crossan	/person/author /person
wate	/living_thing
xor	/game /person/artist /person
blumenfeld	/person
calliostoma	/living_thing
hotwire	/person/musician /person/artist /written_work /person
lucy	/music /person/actor /person/artist /person /person/musician /written_work /art/film /location /person/athlete /product /location/city /organization /person/author /organization/company
lep	/location/city /location /biology
ecmascript	/computer/programming_language
onnes	/person
rudaki	/person/author /person
nafees	/person/artist /person
cedarwood	/location/city /organization /organization/company /location
wannabes	/art/film /person/artist
bhattacharyya	/person/author /person
stoneleigh	/location/city /location /building
owner	/title
llanes	/location/city /location
heth	/living_thing /location/city /location /person/musician /person
pavlo	/person/artist /person
resplendent	/person/artist /written_work
cupids	/location/city /location /person/artist /art/film
carlotta	/location /person/artist /location/city /person/musician /person
lumina	/location /person/artist /building /organization /written_work /organization/company
silencio	/music /person/actor /person/artist /person/director /person/musician /art/film /product /person/author /person
masoud	/person/artist /person
igloo	/person/artist /person/musician /art/film /location /product /location/city /organization /organization/company
chandeliers	/game
lindsborg	/location/city /location
plenitude	/written_work
nest	/music /product /broadcast_program /person/musician /play /written_work /art/film /person/artist /organization /organization/company
turtleback	/organization /organization/company
sarwar	/location /person/artist /location/city /person
breland	/location/city /location
castillejos	/location/city /location
arthroscopy	/medicine/medical_treatment /written_work
bezalel	/person
lasagna	/food
triethylamine	/chemistry
macassar	/location/city /location
pero	/living_thing /location /location/city /person/athlete /person
welshpool	/location/city /location
wasseypur	/location
rituximab	/medicine/medical_treatment /medicine/drug
macworld	/event /written_work
grantley	/location/city /location
lichtenfels	/person/musician /location/city /location /person/artist
rasam	/food
tsukuyomi	/written_work
ezy	/product
takahe	/living_thing
vytenis	/person
transitory	/product
celaya	/location/city /location
lerner	/person/artist /person /person/musician /organization /person/author /organization/company
rosman	/location/city /location
jrm	/person/actor /organization /person/artist /person /organization/company
diarra	/person
guys	/person/artist /location/city /location /product /written_work
siloam	/location/city /location /person/artist
colt	/product/airplane /software /person/actor /person/artist /person/musician /art/film /location /location/city /organization /organization/company /person
keddie	/location
triquarterly	/written_work /organization/company
manzhouli	/location/city /location
ospina	/location/city /location
employee	/title
ellerbe	/location/city /location
yha	/organization
aquavit	/person/artist /food
moles	/location /building /disease
dfv	/organization /organization/company
ebolavirus	/living_thing
thalamus	/person/artist /person/musician
bellona	/location/city /god /product/ship /written_work /location
minister	/art/film /location /person/artist /location/city /title /person
floris	/organization /person/artist /broadcast_program /person/musician /art/film /location /location/city /organization/company /person
madhapar	/location/city /location
opaque	/music /person/artist /person/musician /product /person/author /person
rud	/product/instrument
squares	/game /product /written_work
mcandrews	/location/city /location
soma	/music /person/actor /person/artist /person /medicine/drug /person/musician /written_work /game /location /medicine/medical_treatment /god /product /location/city /organization /organization/company
abingdon	/location/city /organization /organization/company /location
saugerties	/location/city /location
bidden	/location
oligoryzomys	/living_thing
roucy	/location/city /location
derailments	/art/film
olivares	/person/artist /person
tgif	/biology /broadcast_program
elt	/person/musician /person/artist
brecknock	/location /building
benazir	/art/film
microgale	/living_thing
welby	/location/city /location
uys	/person
pessac	/location/city /location
luzhou	/location/city /location
enamel	/person/artist
aphelia	/living_thing /product
daito	/location/city /location
suspects	/person/artist /person/musician /written_work
linnaea	/living_thing /written_work
greencastle	/art/film /location /location/city
zek	/person/artist
kostas	/person/artist /person/musician /art/film /person/athlete /person
dweller	/art/film /written_work
pump	/product /art/film /person/artist /written_work /person/musician
reliefs	/written_work
sado	/person/artist /location/city /location /person/musician
chiyoda	/location/city /location
lister	/person/artist /person/musician /written_work /location /organization/educational_institution /location/city /organization /organization/company /person
plasmin	/medicine/medical_treatment /medicine/drug
zao	/person/musician /art/film /person/artist /written_work /play
hackensack	/location/city /location
teenager	/person/musician /music /person/artist /product
bracht	/location/city /location /location/body_of_water
wilfred	/broadcast_program /art/film /location /location/city /person
marcha	/person/actor /person/artist /person
seabee	/organization
wilmington	/location/city /location /product
dwain	/person /person/athlete
scripture	/person/artist
trashcan	/person/artist
exploitation	/art/film
sukhothai	/location/city /location /written_work
lycidas	/living_thing /written_work
zielinski	/art/film /person
mijo	/person/director /person/artist /person /organization /organization/company
masterplan	/person/artist /organization /product /person/musician /organization/company
oranienburg	/location/city /location
yolo	/location/city /location /product
annelid	/living_thing
aviators	/person/musician /person/artist /person
navojoa	/location/city /location
excel	/software /location /product /person/artist /location/city /person/musician /written_work /person
tsukumo	/person/engineer /organization /organization/company
kabaddi	/art/film /music
soweto	/location/city /location /person/artist /written_work
zdnet	/internet/website
identify	/product
gastrotheca	/living_thing
unholy	/art/film /person/artist /product /person/musician /music
artisanal	/building/restaurant /organization /organization/company
bengali	/written_work
rasher	/person
leedy	/location/city /location
nippo	/location
xanthocephalus	/living_thing
merge	/software /location /person/artist /broadcast_program /product
lemar	/person/actor /person/artist /person
orotava	/living_thing
terraplane	/person/artist /person/musician /written_work /organization/company
amanecer	/music /art/film /product /written_work
brookshier	/location/city /location
drei	/art/film /product
penne	/organization/sports_team /location/city /location /food
maybrook	/location/city /location
klassen	/written_work
siewierz	/location/city /location
maximise	/organization /organization/company
sunna	/person/musician /person/artist /person
fourmile	/location/city /location
nemastoma	/living_thing
iamx	/person/artist /person/musician /person/author /person
shenley	/location/city /location
enuff	/person/musician /music /product /person/artist /person/author /person
teos	/location/city /organization /location /organization/company
cmp	/software /person/artist /chemistry /disease /organization/company /organization /person/author /person
jenney	/person/author /person
huffer	/location/city /location
krak	/art/film /written_work
overview	/music /location /product /person/artist /location/city /person/musician /written_work
cerion	/living_thing
bermudo	/person
weert	/location/city /location/county /location
hanley	/location/city /location /person/author /person
centinela	/person/musician /person/artist
driel	/location/city /location
merck	/organization /person/author /organization/company
dalys	/location/city /location
perfecto	/person/musician /person/artist /person
graciano	/living_thing /food
tipperary	/location/city /location /written_work
knicks	/organization/sports_team
bhairavi	/art/film /god /person/actor /person
fishtank	/person/musician /organization /person/artist /organization/company
pappy	/person/actor /person/artist /person/author /person/director /person/musician /person
granat	/art
ael	/disease
antipode	/product /person/artist /written_work
sunflower	/living_thing /music /person/actor /product /broadcast_program /person/director /person/musician /written_work /food /art/film /location /art /person/artist /location/city /person/author /person
kayhan	/written_work
saito	/location/city /location /person
puy	/location
rogan	/person/artist /written_work /person
dumper	/person/artist
guenther	/location/city /location
fidelis	/location/city /location /person/author /written_work /person
unos	/art/film /organization /building/restaurant /organization/company
shigella	/living_thing
ducky	/person/actor /person/artist /person/athlete /written_work /person
mathematics	/person/actor /person/artist /person/musician /written_work /title /product /event /person/author /person
dancing	/music /art/film /product /written_work /broadcast_program
boomer	/person/actor /person/director /written_work /location /location/city /person/athlete /person
macaya	/organization /person /organization/company
amadora	/location/city /location
oostende	/location/city /location
eckhart	/broadcast_program
sketchpad	/software
langkawi	/location /geography/island
tsumeb	/location/city /location /written_work
ledwidge	/location/city /location
anchoress	/art/film /person/artist /written_work
brugmansia	/living_thing
yarnall	/location/city /location
columban	/person/author /person
chubb	/person/musician /location /person/artist
worsted	/person/musician /person/artist
jaidev	/person/actor /person/artist /person/director /person/musician /art/film /person/author /person
teke	/organization /person/actor /person/artist /written_work /person
discordance	/person/artist
mittal	/person/author /person
moy	/location/city /location /product/ship
mifflintown	/location/city /location
maarja	/person/artist /person/author /person/musician /person
easdale	/location /geography/island
inah	/person/actor /person
licata	/location/city /location /person/artist
homeless	/product /art/film /person/artist /broadcast_program
swashbuckler	/game /art/film
diaporthe	/living_thing
stella	/software /music /person/actor /product /broadcast_program /person/director /person/musician /written_work /art/film /location /art /person/artist /location/city /person/author /product/ship /person
isolde	/person/musician /person/artist
cuthbert	/location/city /location /person/author /person
szymanski	/person/artist /person
niemen	/person/artist /person/musician /person
ultimo	/person/artist /person /art/film /location /product /location/city /organization /organization/company
airbase	/person/artist /person
remarkable	/music /product /person /person/artist /organization /organization/company
arkadelphia	/location/city /location /product
srinagar	/location/city /location
loser	/music /art/film /location /product /geography/mountain /person/artist /person/musician /written_work
gaspar	/person/artist /person/actor /person/author /person/director /person
presov	/location/city /location
cabe	/person/actor /person
crenicichla	/living_thing
jamesburg	/location/city /location
tng	/location /building
valcour	/location/city /location
rocky	/person/actor /person/artist /written_work /game /art/film /location /art /product /location/city /person
blackie	/person/actor /person/artist /person/director /person/musician /written_work /person/athlete /person/author /person
kittredge	/location /organization/educational_institution /location/city /organization
counterfeiter	/written_work
tempura	/food
jobs	/location/city /location /product /art/film
ashmont	/location/city /location
athelney	/location/city /location
frozen	/music /art/film /person/artist /product /person/musician /internet/website /play /written_work
haveri	/location/city /location
thacher	/location/city /location /person
drever	/living_thing
riffs	/product
platen	/location/city /location /written_work
jedi	/software /organization/company /person/artist /organization /person/musician /person
wiri	/location
nanyue	/location
katok	/location/city /location /art/film
khurai	/location/city /location
immendingen	/location/city /location
slu	/organization /location /organization/educational_institution /organization/company
katsuya	/person/actor /person/artist /written_work /person
galore	/music /product /written_work /location /person/artist /location/city /person
alejandra	/art/film
mechatronic	/person/artist
kungsbacka	/location/city /location
conclave	/game /event /written_work
gerdau	/organization /location /organization/company
inkpot	/music
taisuke	/person/athlete /person
carolan	/location /person/artist /person/musician /location/city /person/author /person
fontenot	/location/city /location
jaf	/person/artist
animates	/game
artistas	/art/film /written_work /title
deeps	/person/artist
guest	/music /person/actor /person/artist /person/director /game /art/film /location /product /location/city /person/author /person
butuan	/location/city /location
soleri	/written_work
morgenthaler	/organization /organization/company
beginnings	/music /art/film /product /person/artist /written_work /person
suerte	/person/artist
ussel	/location/city /location
giacobbe	/written_work
picumnus	/living_thing /god
dixit	/game /person/actor /person/director /person
hayat	/location/city /location /art/film /written_work
thelema	/person/artist /person/musician /person
papercut	/person/artist /music /product /person/musician
danang	/location/city /location /person
tkachuk	/person
hydriomena	/living_thing
wives	/art/film /person/artist /broadcast_program /person/musician /written_work
flintstones	/person/artist /person
aegon	/organization /organization/company
christianshavn	/location
werneck	/location/city /location
berjaya	/organization
heretofore	/product /written_work
parkin	/location /location/city /person/author /written_work /food /person
greven	/location/city /location /art/film
krrish	/art/film /music
chesser	/game /location
doorknobs	/art/film
lepturus	/living_thing
dero	/person/artist /person/musician /person/author /person
dixons	/organization /organization/company
madhukar	/person/actor /person/author /person
hambone	/person/artist /location/city /location /play /written_work
ixl	/organization /location/city /location /person/artist /organization/company
backstreet	/product /person/artist
fairest	/written_work
teman	/location/city /location
cowhide	/art/film
montenegro	/geography/mountain /written_work /art/film /location /location/city
natty	/person/actor /person/artist /person
pock	/person/actor /person
vian	/location/city /location
cephalic	/person/musician /person/artist
alebrije	/person/musician /person/artist /organization/company
interviews	/art/film /written_work
marietta	/person/artist /building /written_work /location /location/city /person/author /person
darband	/location/city /location /art/film
halsall	/location/city /location
rickmansworth	/location/city /location
katmandu	/person/artist /person/musician /broadcast_program
parisina	/art/film /play /written_work
carona	/location/city /organization /location /organization/company
leyland	/location/city /location /organization/company
sacramento	/location/city /location /written_work
shellshock	/person/artist /person /person/musician /written_work /game /product /organization /organization/company
maksym	/art/film
chauncey	/person/artist /location/city /location /person/musician
fanfan	/art/film /person/actor /person/artist /person
bowsher	/organization/sports_team /location/city /location
dimmer	/person/musician /art/film /person/artist /person
typecasting	/written_work
alamut	/person/artist /location /person/musician /written_work
jelling	/location/city /location
tumbling	/location/city /location /written_work
bethania	/location/city /location
tenebrae	/music /art/film /person/artist /person/musician /written_work
gibbosa	/living_thing
chandlers	/location/city /location
longwy	/location/city /location
cutback	/person/musician /art/film /person/artist
quddus	/person/actor /person
bedeviled	/written_work
mumu	/software /art/film /person/actor /person/artist /person /person/athlete /organization /written_work /organization/company
mongul	/location/city /location
skywatch	/art/film
tcb	/music /person/artist /person /broadcast_program /organization /organization/company
swarna	/person/actor /person
ljubica	/art/film
fades	/location/city /location
probolinggo	/location/city /location
hauge	/location/city /location
dbase	/software /written_work
chakwal	/location/city /location
ahrweiler	/location
loso	/person/musician /person/actor /person/artist /person
position	/person/artist /person
mower	/person/artist /person/musician /game /location /product /person /person/athlete
abigail	/person/actor /person/artist /broadcast_program /person/musician /written_work /art/film /location /product /location/city /person/author /person
andrus	/person
frameshift	/person/musician /person/artist /written_work
handover	/product
outside	/music /art/film /person/artist /product /person/musician /written_work
esparza	/person/actor /location /person/artist /person/director /person
thompsons	/location/city /location
ibex	/living_thing /person/artist /person/musician /location /location/city /person
kilkenny	/location /location/city /written_work /food /person
gasping	/play /written_work
pininfarina	/organization /organization/company
koechner	/person/actor /person/artist /person
dunwoody	/location/city /location
harrier	/living_thing /art/film
westway	/location /person/artist /broadcast_program /location/city /organization /organization/company
tompkins	/location/city /location /person
repalle	/location/city /location
turmeric	/living_thing /product /food
blown	/person/artist /art/film /product
bhattacharya	/person/actor /person
splitting	/art /written_work
zakk	/location /building
clelia	/person/artist /person
hanwei	/organization /organization/company
ostrea	/living_thing
dope	/person/artist /chemistry /medicine/drug /person/musician /written_work /art/film /medicine/medical_treatment /organization /person/author /organization/company
synaphe	/living_thing
lovelock	/location /person/artist /location/city /person/musician /written_work /person
daroca	/location/city /location
tiruchirappalli	/location/city /location
attia	/person
spooky	/music /person/actor /person/artist /product /person/musician /person
submarino	/person/musician /art/film /person/artist
crookham	/location/city /location
moniuszko	/written_work
plowed	/art/film /product
altadena	/location /written_work
fibich	/person/musician /person/artist /person
toby	/person/actor /person/artist /broadcast_program /person/director /location /location/city /person/athlete /person/author /person
kep	/location/city /location /art/film /written_work
ruslan	/product /person
rhombus	/person/artist /product /person/musician
gooey	/product
glyphipterigidae	/living_thing
nachts	/art/film /written_work
priyamani	/person/actor /person
stockyard	/art/film
butman	/location/city /location
sabers	/person/artist
histone	/biology
inbev	/organization /organization/company
saotome	/person
horde	/software /location /person/artist /person/musician /written_work
zea	/living_thing /art/film /location /person/artist /geography/island /person/musician
kammerspiele	/written_work
pws	/disease
telecoms	/title
yoshie	/person/artist
puntarenas	/location/city /location
kamuli	/location/city /location
chp	/biology /written_work
grabbers	/person/artist /art/film /person/musician
dae	/living_thing /art/film /food
jinx	/person/athlete /person/artist /person /broadcast_program /person/engineer /person/musician /written_work /game /art/film /location /product /organization /person/author /organization/company
cuore	/written_work
amethi	/location/city /location
travolta	/music /person/actor /person/artist /person/musician /written_work /person/author /person
gendering	/written_work
magni	/organization
contessa	/person/actor /person
sargo	/living_thing
palamedes	/game /written_work
erath	/location/city /location
sunspot	/music /location /person/artist /product /location/city /person/musician /written_work
skaar	/location /person/artist /location/city /person
nerul	/location/city /location
cathy	/music /person/actor /person/artist /broadcast_program /art/film /art /person
babyz	/game
bhola	/location /person/actor /person
kearsarge	/location/city /location
maryse	/person/actor /person/artist /person
vishwanathan	/person/actor /person/director /person
rehab	/music /art/film /product /broadcast_program /person/artist /person/musician /written_work
mauka	/location
nyssa	/living_thing /location/city /location
meyers	/location/city /location /person
jurgenson	/location/city /location
sarissa	/person/artist
civita	/location/city /organization /location
dcms	/organization
pocking	/location/city /location
nightly	/art/film
brandywine	/living_thing /person/artist /location/cemetery /location /location/city
chopsticks	/written_work /broadcast_program
santol	/living_thing
parador	/location
handicap	/product
angermünde	/location/city /location
conversano	/location/city /location
cate	/living_thing /person/actor /person/artist /person/director /person
theodelinda	/person
botstein	/person
headteacher	/title
worth	/music /location/city /location /written_work
adaptoid	/game
banger	/music /person/artist /person
taps	/art/film /person/artist /chemistry /written_work /person
doan	/location /person/artist /geography/mountain /person/director /person/author /person
alstom	/organization /organization/company
klage	/person/musician /music /person/artist /product
vwf	/biology /chemistry
pnl	/written_work
giantess	/person/musician /person/artist
jas	/software /person/actor /person/artist /person
downs	/location/city /location /person
eggnog	/location/city /location /food
pipers	/written_work
chedworth	/location/city /location
sundancer	/person/artist /written_work /person
brockie	/person/artist /person/musician /person
emmerich	/location/city /location
waipa	/location
dacapo	/organization /person/artist /organization/company
beddgelert	/location/city /location
luhansk	/location/city /location
reloading	/music
craster	/location/city /location
verba	/location /person/artist /location/city /organization /person/musician /organization/company
woodside	/location /organization/educational_institution /building /location/cemetery /location/city /organization
steketee	/person/author /person
schutzstaffel	/organization /person/artist
suna	/person/engineer /location/city /location /person/artist /art/film
hht	/biology
guthrum	/person
remark	/organization /person/artist /organization/company /person
hamptons	/location/city /location /written_work
californication	/product /broadcast_program
thunderstrike	/game
murali	/living_thing /person/actor /person/artist /person/director /person/athlete /person/author /person
ramzan	/art/film
laporte	/location/city /location
ua	/person/actor /person/artist /organization /person/musician /game /location /organization/educational_institution /organization/company /person/author /person
ysabel	/written_work
palghat	/location/city /location
hellerau	/location/city /location
gubat	/written_work
nellore	/location/city /location
romulan	/person
remembering	/music /art /product /art/film /written_work
iturup	/location /geography/island
eurynome	/art/film /person/artist
yayla	/written_work
hale	/person/actor /person/artist /person/musician /location /organization/educational_institution /location/city /organization /person
pangarap	/art/film
corridor	/game /art/film /person/artist /art /person/musician /written_work /organization/company
rosch	/organization /organization/company
intermix	/person/musician /person/artist /product
lifeforce	/game /art/film /person/artist /product /music
hejaz	/location
diandra	/person/artist /person
villu	/art/film /music
nineveh	/location/city /location /written_work
hirofumi	/person/author /person
artvin	/location/city /location
wrecking	/written_work
taplin	/location/city /location
insurgentes	/person/musician /person/artist /product
fretter	/organization /organization/company
lonergan	/written_work
myriophyllum	/living_thing
relativity	/music /art/film /product /art /broadcast_program /person/artist /person/musician /written_work
nuland	/location/city /location
torche	/person/musician /person/artist
duży	/music /person/actor /person
waxwings	/art /written_work
montabaur	/location/city /location
rosholt	/location/city /location
thecla	/living_thing /person/author /person
maddock	/location/city /location /person
fug	/person/musician /person/artist
tocumwal	/location/city /location
klump	/location/city /location
vitez	/location/city /location /title
leninism	/written_work
brigg	/location/city /location
fjeld	/person/musician /person/artist
jaffery	/written_work
wakasa	/location/city /location
gendt	/location/city /location
teuta	/person/musician /person/artist
mocky	/person/actor /person/artist /person/director /person/musician /person/author /person
arve	/location /location/body_of_water
swabi	/location/city /location
rhiwbina	/location/city /location
pachuca	/location/city /location
mesoplodon	/living_thing
kanha	/person/author /person
spitball	/person/musician /art /organization /person/artist
rakoczi	/person
nagios	/software /written_work
vestron	/game
possessed	/art/film /location /product /broadcast_program /person/artist /person/musician /written_work
stowage	/written_work
casamance	/location
isandlwana	/geography/mountain /location
andaz	/art/film /organization /music /organization/company
tsr	/person/artist /person/musician /organization /person/author /organization/company
transcendentalists	/written_work
helden	/art/film /location /product /broadcast_program /person/artist /location/city /location/county /music
dugas	/location/city /location
brachys	/living_thing
necking	/art/film /person/artist /written_work
pepperdine	/person/artist /person
seedeater	/living_thing
balda	/game /organization /organization/company
minuta	/written_work
cairngorms	/geography/mountain /location
shushtar	/location/city /location
academician	/title
unprotected	/product
flavours	/person/artist
eileanan	/written_work
barnston	/location/city /location
havel	/location /person/author /location/body_of_water /person
kanta	/location /person/artist /person/actor /person/musician /person
hansell	/location/city /location
fluorspar	/medicine/medical_treatment /chemistry
brandis	/location/city /location /person
bandiagara	/location/city /location
pigskin	/person/musician /person/artist
creel	/person/artist /location/city /location /person/musician /person
kashiwagi	/written_work
fraternidad	/organization /organization/educational_institution
waifs	/person/artist /person/musician /written_work
guanabara	/location
gira	/person/artist /person /organization /organization/company
paragould	/location/city /location
screenplays	/written_work
monuments	/person/artist /art/film /product /written_work /person/musician
netaji	/person/actor /person/author /written_work /person
siccia	/living_thing
deveraux	/person/musician /person/artist
gtb	/person/actor /person/artist /person/author /person/musician /person
psygnosis	/person/artist /person/engineer /person/musician /organization /organization/company
seoige	/broadcast_program
poway	/location/city /location
fomalhaut	/astral_body
anis	/person/actor /person/artist /person
various	/music /person/actor /person/artist /person/musician /person/author /person
kessler	/location /person/artist /broadcast_program /location/city
bsm	/organization /organization/company
basalt	/location/city /location /person/artist
padiham	/organization/sports_team /location/city /location
grips	/organization /organization/educational_institution /location
compiler	/person/artist /person
leitz	/organization /organization/company
exelon	/organization /organization/company
igla	/art/film /person /person/athlete
deroplatys	/living_thing
teller	/person/actor /person/artist /person/director /written_work /location /location/city /person/author /person
sorna	/product/instrument /person/actor /person
janus	/person/artist /broadcast_program /person/director /person/musician /written_work /location /computer/programming_language /art/film /god /astral_body /organization/company /product /organization /person/author /person
pru	/person/musician /person/actor /person/artist /person
arrian	/person/author /person
oland	/location /geography/island
alphabetic	/game
grist	/location /person/artist /product /location/city /internet/website /person/musician /written_work
dillion	/person/actor /person
ator	/art/film /person/artist
fuit	/location/city /location
gebze	/location/city /location
polyodon	/living_thing
firefinch	/living_thing
automate	/living_thing /product /person/artist
rides	/art/film /product /broadcast_program
inklings	/game /person/artist /organization /person/musician /written_work
joey	/person/actor /person/artist /broadcast_program /person/director /person/musician /written_work /art/film /person/athlete /person/author /person
coex	/person/artist /person
grangetown	/location/city /location
kimiko	/art/film /person
hornblower	/art/film /person/artist /broadcast_program
nih	/person/engineer /organization /organization/educational_institution
brasov	/location/city /location
hagood	/location/city /location
nanaka	/person/actor /person/athlete /person
tarpon	/living_thing /location/city /location
witch	/living_thing /music /person/actor /person/artist /person /person/musician /written_work /art /product /organization /person/author /organization/company
wauseon	/location/city /location
moutier	/location/city /location
neonatology	/written_work
shatz	/person/artist
imperator	/game /person/artist /person/musician /person
zalaegerszeg	/location/city /location
phlogophora	/living_thing
nesta	/living_thing /organization /written_work /organization/company
buenos	/location/city /location
dutch	/person/actor /product /person/musician /written_work /art/film /location /person/artist /location/city /person/athlete /person/author /person
amnesiac	/product
odder	/location/city /location
applause	/software /music /person/artist /broadcast_program /play /person/musician /written_work /art/film /product /organization /organization/company
duh	/person/artist /product /person/musician
koger	/organization /organization/company
taxus	/living_thing
gentoo	/software
terminology	/software
shafter	/location/city /location
crashers	/person/artist
chika	/art/film /person/actor /person/artist /person
stander	/art/film
bjj	/person/artist
noradrenaline	/person/artist /person
itzehoe	/location/city /location
ventris	/person
crowborough	/geography/mountain /location/city /location
naze	/location/city /location
tasa	/living_thing /person/musician /music /person/artist
thc	/person/artist /chemistry /medicine/drug /person/musician /medicine/medical_treatment /product /person
braathens	/organization /organization/airline /organization/company
chuggington	/internet/website /person/artist /broadcast_program
boyz	/person/artist /music /product /written_work
selenide	/chemistry
gozo	/art/film /location /geography/island
maghreb	/location
councilor	/title
marna	/location/city /location
sallee	/person/author /person
madhi	/person/artist /person
graciosa	/location /geography/island
sherbet	/person/artist /person/musician /food
watterson	/location/city /location
corse	/location
plastic	/music /person/artist /person/engineer /person/musician /art/film /location /product /location/city /person/athlete /person
shaquille	/broadcast_program
makis	/location
monsieur	/art/film /person/artist /written_work
syrnola	/living_thing
sharon	/person/actor /person/artist /broadcast_program /person/musician /art/film /location /organization/educational_institution /product /location/city /organization /person/author /person
dnt	/person/musician /person/artist /disease
mixmaster	/person/artist /chemistry
leaden	/person/musician /person/artist
slit	/product
eventyr	/person/artist
tectonic	/organization /organization/company
faulconer	/location/city /location
rsd	/person/artist /music /person /person/musician /disease
blindfold	/music /person/artist /art/film /broadcast_program /written_work /art /person
holguin	/location/city /location
strader	/location/city /location
size	/software /organization/company /person/artist /organization /person/musician /person
kenema	/location/city /location
northside	/location /person/artist /person /location/city /organization /person/musician /organization/company
coops	/person/athlete /person
solved	/product /broadcast_program
chandrapur	/location/city /location
stigmata	/person/actor /product /person /person/musician /written_work /art/film /art /person/artist /organization /organization/company
splice	/game /art/film /person/artist /product /person/musician /music
fola	/location/city /location
steranko	/person/author /person/actor /person/artist /person
belem	/location/city /location /product/ship
madhuca	/living_thing
goby	/living_thing /location/city /location
personally	/music
trapezoid	/person/artist /person/author /person/musician /person
attendance	/music
tehuelche	/people/ethnicity
margarethe	/location/city /location
zainuddin	/person/actor /person
oud	/product/instrument
prahran	/location/city /location
stonehenge	/music /product /building /person/musician /written_work /game /art/film /location /person/artist /location/city /person/author /person
mers	/people/ethnicity
rozelle	/location/city /location
granted	/written_work
ippolita	/written_work
sock	/person/artist /person/musician /written_work /person
modeste	/location/city /location /person/artist
serafin	/music /person/artist /product /person/musician /written_work /person
wakeley	/location
refute	/person/artist /person
miina	/person/artist /person
paya	/food
pupfish	/living_thing
viejo	/person/athlete /person
missoni	/art/film /organization /organization/company
clapper	/location/city /location /product/instrument
eumeces	/living_thing
llobregat	/location /location/body_of_water
banderas	/person/artist /location /person/musician /building/restaurant
mayberry	/person/actor /location /location/city /person
secession	/location /person/artist /product /location/city /person/musician /written_work
manotick	/location
tessie	/product /written_work /person
arkhipov	/person
ballyhoo	/living_thing /game /music /location /person/artist /person/musician /written_work
brickell	/location
sejo	/person/athlete /person
charbel	/person
stampa	/location/city /location
perspectiva	/person/musician /person/artist
iip	/person/artist
trigger	/music /person/actor /person/artist /person/author /person/musician /game /art/film /product/instrument /product /organization /organization/company /person
outlier	/person/artist
nevesinje	/location/city /location
sissle	/location /location/body_of_water
puncak	/location
tarasov	/person/athlete /person
ovoo	/living_thing
koncert	/art/film /product /music
roehampton	/location
porcellio	/living_thing
maclachlan	/person
bagus	/person /product /person/athlete
scopa	/game
schulberg	/person/artist /person/actor /person/author /person/director /person
arang	/location/city /location /art/film
oron	/written_work
airto	/person/artist /person/actor /person/musician /person
thermostatic	/person/musician /person/artist
bahamut	/person/artist
hleb	/music
hartberg	/location/city /location /location/body_of_water
papaveraceae	/living_thing
philomath	/location/city /location
rumsey	/location/city /location
deltas	/product /written_work
cahaba	/location/city /location
diver	/art /person/actor /product /person/athlete /person/artist /person /person/musician /title /written_work
amatory	/person/musician /person/artist
graziano	/person/author /person
tynwald	/product/ship
shlisselburg	/location/city /location /location/cemetery
cursive	/person/musician /person/artist
beaverbrook	/location/city /location
draconis	/event /person/artist
luminance	/person/musician /person/artist
morpurgo	/person
finchley	/location/city /location /location/cemetery
wicher	/person/musician /person/artist
spitzer	/person/artist /person/musician /person
gemmell	/location/city /location
biochemistry	/written_work
idfa	/event
shakuntala	/art/film /person/actor /art /broadcast_program /written_work /person
mansarovar	/location
shahi	/location /person/artist /person/author /location/city /person/musician /person
poundmaker	/written_work
mpanda	/location/city /location
soltan	/art/film /person /person/athlete
voghera	/location/city /location
naa	/organization /organization/educational_institution /chemistry /organization/company /location
xit	/person/musician /person/artist
